"","Order","Minority Name","Self title","Other names","International names","Local group","Distribution","Population","Male","Female","Language","Language group","Language branch","Language family","Region","General information about traditional costumes","Note"
"1",1,"Cong","Cong","Xam Khong, Phuy A","Phunoi","Not avaible","Muong Te District, Lai Chau Province",2729,1343,1386,"Cong ","Lo Lo","Tibeto-Burman","Sino-Tibetan","Northwest","In the past, the Cong people migrated from Laos to Vietnam. Cultivation and food gathering play a major role in their life. The Cong are unfamiliar with weaving, they grow cotton then use it to barter for cloth.
The traditional shirt of Cong women is characterized by two sleeves decorated with alternating green, red, yellow and white patches. Cong dresses are similar to Thai dresses, but with many weaving patterns along the body. ","Population as of 2019"
"2",2,"Ha Nhi","Ha Nhi Gia","U Ni, Xa U Ni","Hani","Ha Nhi, Co Cho, Ha Nhi La Mi, Black Ha Nhi","Lai Chau and Lao Cai Province",25530,12893,12637,"Ha Nhi","Lo Lo","Tibeto-Burman","Sino-Tibetan","Northwest","Acient documents recorded the apperance of Ha Nhi people in Northwest Vietnam from 8th century. However, majority of Ha Nhi people nowadays are children of the Ha Nhi who migrated from China in 18th century. They are good at cultivating terraced fields, utilizing ferilizers and irrigation. 
The main color of Ha Nhi Hoa women's costume is red, with a hat full of colorful fringes. Whilst, costumes of Black Ha Nhi women are mainly in black, embroidered with delicate white or blue patterns. In the wedding ceremony, thick indigo dyed cotton threads are woven with real hair of Black Ha Nhi women to crate a crown. On top of this placed an intricately designed, brightly embroidered panel which is then covered with simple blue cotton. ","Population as of 2019"
"3",3,"Khang","Mo Khang","Xa Khao, Xa Xua, Xa Dôn, Xa Dâng, Xa Hôc,Xa Ai, Xa Bung, Quang Lâm","Khaang","Khang Dang, Khang Hoac, Khang Don, Khang Sua, Ma Hang, Bu Hang, Ma Hang Beng, Bu Hang Coi","Son La , Lai Chau and Dien Bien province",16180,8187,7993,"Khang","Kho Mu","Mon - Khmer","Autro-Asiatic","Northwest","Khang people grow glutinous rice as their main food crop. They have traditional experience in basketry and making wooden boats in swallow-tail shape. 
The Khang grow cotton and exchange it for cloth and garments from the Thai. Therefore, the traditional costumes of two ethnics are quite similar. Khang women cover their heads with indigo dyed towels attching thread or wool fringes at both ends. Pieu headscarf is also used by Khang people, athough the design is similar to the Thai's, the pattern are a bit different. ","Population as of 2019"
"4",4,"Kho Mu","Kmu, Kum Mu","Xa Cau, Kha Klau, Mang Cau, Tay Hay, Mun Xen, Pu Thenh, Tenh","Khmu","Not avaible","Yen Bai Province, Son La and Lai Chau",90612,45487,45125,"Kho Mu","Kho Mu","Mon - Khmer","Autro-Asiatic","Northwest","The Kho Mu is among the ethnic group that has the longest history in Northwest Vietnam. They live on slash-and-burn cultivation, that's why they refer themselves as ""fire eater"". 
The traditional clothes of Kho Mu women include a black Pieu headscarf, a black vest (com) with rectangular buttons (pam) or butterfly buttons (pem) on the chest part, a wastband, a long black skirt, a skirt cover and leggings. The Pieu headscarf nowadays may have colorful embroidered images due to cultural influences from Thai people. Kho Mu men ussually wear indigo dye shirts and berets. 
","Population as of 2019"
"5",5,"La Ha","La Ha, Kla, Phlao","Xa Cha, Xa Bung, Xa Khao, Xa Tau Nha, Xa Poong, Xa Uong, Bu Ha, Pua","La Ha","Khla Phlao (Terrestrial La Ha), La Ha Cung (Water La Ha)","Son La, Lao Cai province",10157,5190,4967,"La Ha","Kra","Kadai","Tai-Kadai","Northwest","The presence of La Ha people was noted very early before 11th-12th century. The La Ha grow cotton but are not familiar with weaving. They barter cotton for cloth made by the Thai, thus dress in the same outfit as the Black Thai. ","Population as of 2019"
"6",6,"La Hu","La Hu","Xa la vang, Co Xung, Khu Sung, Kha Quy, Co So, Ne Thu","Lahu","La Hu Na (Black), La Hu Su (Yellow), La Hu Phung (White)","Lai Chau province",12133,6127,6006,"La Hu","Lo Lo","Tibeto-Burman","Sino-Tibetan","Northwest","The La Hu are very skillful in basketry and blacksmithing. They don't grow cotton, instead they exchange other things for cotton or fabrics.
La Hu women wear trousers and a long-lap shirt falling to their ankles in ordinary days, and put on a short vest in festive days. The collar, chest stripes and sleeves are either embroidered or sewn with colorful pieces of cloth, silver or tin coins and red hinges. Men wear costumes like that of other ethnic group in the Nortwest region, including indigo dyed clothes, five-paneled shirts with high-cut in the chest and two armpits, tied by farbric buttons. ","Population as of 2019"
"7",7,"Lao","Thay, Thay Duon, Thay Nhuon","Phu Thay, Phu Lao","Laotian","Lao Boc (Terrestrial Lao), Lao Noi (Little Lao)","Dien Bien, Son La, Lai Chau, Lao Cai province",17532,8994,8538,"Laos","Thai","Tay-Thai","Tai-Kadai","Northwest","The Lao people migrated from Laos to Vietnam. Thir crafmanship is fairly developed, including brocade weaving, blacksmithing, pottery and silver making.
Lao women wear black dresses knotted at the front, coming up to thir chasts and flling down to their legs, the hems are decorated with two bands of embroidered motif in different colors. Men's costume is similar to that of Thai people. 
The Lao in Lai Chau province are called Lao Lu as they dress like Lu people.","Population as of 2019"
"8",8,"Lu","Lu, Thay, Thay Lu","Phu Lu, Nhuon, Duon","Tai Lue","Black Lu (Lu Dam)","Lai Chau, Thai Nguyen province",6757,3439,3318,"Lu","Thai","Tay-Thai","Tai-Kadai","Northwest","The Lu people have lived in Dien Bien province before the 11th - 12th century. Lu women wear indigo tops with a slit on the chest and black embroidered skirts. They wear black headscarves with 18 decorative white lines, tassels on both ends. Lu men wear black indigo chest slit top with buttons and trousers with patterns from the knee down. They wear black scarves decorated with white stripes wrapping around their head.","Population as of 2019"
"9",9,"Mang","Mang","Mang U, Xa Mang, Nieng O, Xa Ba O","Mang","Mang Gung, Mang He","Lai Chau province",4650,2316,2334,"Mang","Northern Mon Khmer","Mon Khmer","Austro-Asiatic","Northwest","Mang people have a nomadic practice, do not raise livestock or do craftsmanship. However, foraging and hunting play an essential role in their economic activity.
The Mang women wear a slit top, long skirt and wrap a white cloth with decorative patterns across the body. Their hair is bunned with beautiful tassels. Men wear slit tops and pants.","Population as of 2019"
"10",10,"Si La","Cu De Su","Kha Pe","Si La, Sila or Syla","Not avaible","Lai Chau, Lao Cai province",909,453,456,"Si La","Lo Lo","Tibeto-Burman","Sino-Tibetan","Northwest","The primary food source of the Si La people is rice and maize. In general, their standard of living is still low, and the mortality rate is high.
Traditionally, Si La women wear indigo skirts. Their shirt has buttons on the right armpit. The chest flap is covered with glittering silver and aluminium coins. The neck and sleeves are decorated with colourful fabric lines. Accessories include a headscarf and a bag decorated with red thread. Men wear short slit tops and loose pants.","Population as of 2019"
